item_id,gt_sample,pde_class,num_method,phys_process,source,condition,corrupted_view,traj_level,names,order_seed,slot_1,slot_2,slot_3,slot_4,outlier_slot,gt_pde_class,gt_num_method,invalidity_note,desc_len_valid,desc_len_wrong,desc_len_delta,code_len_valid,code_len_wrong,code_len_delta,code_blank_runs_valid,code_blank_runs_wrong,traj_shape_valid,traj_shape_swap,render_grid,render_recon_err,flag_render_hard,flag_identity_leak,flag_near_duplicate,needs_exec
Burgers_1|X_D|real|0,Burgers_1,burgers,explicit,advection,human,X_D,description,valid,real,0,description,trajectory,code,math,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_D|real|1,Burgers_1,burgers,explicit,advection,human,X_D,description,valid,real,1,code,math,description,trajectory,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_M|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_M,math,valid,obfuscated,0,math,description,code,trajectory,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_M|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_M,math,valid,obfuscated,1,trajectory,code,math,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_M|real|0,Burgers_1,burgers,explicit,advection,human,X_M,math,valid,real,0,math,description,code,trajectory,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_M|real|1,Burgers_1,burgers,explicit,advection,human,X_M,math,valid,real,1,trajectory,code,math,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_exec|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,0,trajectory,code,description,math,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,1
Burgers_1|X_T_exec|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,1,math,description,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,1
Burgers_1|X_T_exec|real|0,Burgers_1,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,0,trajectory,code,description,math,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,1
Burgers_1|X_T_exec|real|1,Burgers_1,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,1,math,description,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,1
Burgers_1|X_T_rand|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,0,trajectory,description,math,code,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_rand|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,1,description,math,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_rand|real|0,Burgers_1,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,0,trajectory,description,math,code,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_rand|real|1,Burgers_1,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,1,description,math,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_shuf|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,0,trajectory,math,description,code,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_shuf|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,1,code,math,trajectory,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_shuf|real|0,Burgers_1,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,0,trajectory,math,description,code,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_shuf|real|1,Burgers_1,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,1,code,math,trajectory,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_swap|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,0,trajectory,code,math,description,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_swap|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,1,math,description,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_swap|real|0,Burgers_1,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,0,trajectory,code,math,description,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_T_swap|real|1,Burgers_1,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,1,math,description,trajectory,code,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_2|A0|obfuscated|0,Burgers_2,burgers,explicit,advection,human,A0,none,valid,obfuscated,0,code,trajectory,description,math,,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|A0|obfuscated|1,Burgers_2,burgers,explicit,advection,human,A0,none,valid,obfuscated,1,trajectory,math,description,code,,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|A0|real|0,Burgers_2,burgers,explicit,advection,human,A0,none,valid,real,0,code,trajectory,description,math,,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|A0|real|1,Burgers_2,burgers,explicit,advection,human,A0,none,valid,real,1,trajectory,math,description,code,,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_C|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_C,code,valid,obfuscated,0,description,code,math,trajectory,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_C|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_C,code,valid,obfuscated,1,trajectory,math,description,code,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_C|real|0,Burgers_2,burgers,explicit,advection,human,X_C,code,valid,real,0,description,code,math,trajectory,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_C|real|1,Burgers_2,burgers,explicit,advection,human,X_C,code,valid,real,1,trajectory,math,description,code,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_D|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_D,description,valid,obfuscated,0,math,description,code,trajectory,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_D|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_D,description,valid,obfuscated,1,trajectory,math,code,description,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_D|real|0,Burgers_2,burgers,explicit,advection,human,X_D,description,valid,real,0,math,description,code,trajectory,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_D|real|1,Burgers_2,burgers,explicit,advection,human,X_D,description,valid,real,1,trajectory,math,code,description,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_M|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_M,math,valid,obfuscated,0,trajectory,math,code,description,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_M|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_M,math,valid,obfuscated,1,code,trajectory,description,math,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_M|real|0,Burgers_2,burgers,explicit,advection,human,X_M,math,valid,real,0,trajectory,math,code,description,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_M|real|1,Burgers_2,burgers,explicit,advection,human,X_M,math,valid,real,1,code,trajectory,description,math,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_exec|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,0,description,trajectory,math,code,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,1
Burgers_2|X_T_exec|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,1,code,description,math,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,1
Burgers_2|X_T_exec|real|0,Burgers_2,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,0,description,trajectory,math,code,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,1
Burgers_2|X_T_exec|real|1,Burgers_2,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,1,code,description,math,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,1
Burgers_2|X_T_rand|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,0,code,trajectory,description,math,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_rand|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,1,description,code,math,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_rand|real|0,Burgers_2,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,0,code,trajectory,description,math,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_rand|real|1,Burgers_2,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,1,description,code,math,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_shuf|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,0,math,trajectory,description,code,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_shuf|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,1,math,code,description,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_shuf|real|0,Burgers_2,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,0,math,trajectory,description,code,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_shuf|real|1,Burgers_2,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,1,math,code,description,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_swap|obfuscated|0,Burgers_2,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,0,description,trajectory,code,math,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_swap|obfuscated|1,Burgers_2,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,1,code,math,description,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_swap|real|0,Burgers_2,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,0,description,trajectory,code,math,2,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_2|X_T_swap|real|1,Burgers_2,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,1,code,math,description,trajectory,4,burgers,explicit,,422,399,-23,1845,1845,0,15,15,10x100x1x1,10x51x1x1,10x64x1x1,0.0606,0,0,1,0
Burgers_3|A0|obfuscated|0,Burgers_3,burgers,explicit,advection,human,A0,none,valid,obfuscated,0,description,code,trajectory,math,,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|A0|obfuscated|1,Burgers_3,burgers,explicit,advection,human,A0,none,valid,obfuscated,1,trajectory,description,code,math,,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|A0|real|0,Burgers_3,burgers,explicit,advection,human,A0,none,valid,real,0,description,code,trajectory,math,,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|A0|real|1,Burgers_3,burgers,explicit,advection,human,A0,none,valid,real,1,trajectory,description,code,math,,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_C|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_C,code,valid,obfuscated,0,math,description,code,trajectory,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_C|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_C,code,valid,obfuscated,1,code,description,math,trajectory,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_C|real|0,Burgers_3,burgers,explicit,advection,human,X_C,code,valid,real,0,math,description,code,trajectory,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_C|real|1,Burgers_3,burgers,explicit,advection,human,X_C,code,valid,real,1,code,description,math,trajectory,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_D|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_D,description,valid,obfuscated,0,math,trajectory,description,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_D|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_D,description,valid,obfuscated,1,description,math,trajectory,code,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_D|real|0,Burgers_3,burgers,explicit,advection,human,X_D,description,valid,real,0,math,trajectory,description,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_D|real|1,Burgers_3,burgers,explicit,advection,human,X_D,description,valid,real,1,description,math,trajectory,code,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_M|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_M,math,valid,obfuscated,0,trajectory,code,math,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_M|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_M,math,valid,obfuscated,1,math,code,description,trajectory,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_M|real|0,Burgers_3,burgers,explicit,advection,human,X_M,math,valid,real,0,trajectory,code,math,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_M|real|1,Burgers_3,burgers,explicit,advection,human,X_M,math,valid,real,1,math,code,description,trajectory,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_exec|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,0,math,code,trajectory,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,1
Burgers_3|X_T_exec|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,obfuscated,1,trajectory,code,math,description,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,1
Burgers_3|X_T_exec|real|0,Burgers_3,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,0,math,code,trajectory,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,1
Burgers_3|X_T_exec|real|1,Burgers_3,burgers,explicit,advection,human,X_T_exec,trajectory,T_exec,real,1,trajectory,code,math,description,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,1
Burgers_3|X_T_rand|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,0,math,code,trajectory,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_rand|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,obfuscated,1,trajectory,description,code,math,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_rand|real|0,Burgers_3,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,0,math,code,trajectory,description,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_rand|real|1,Burgers_3,burgers,explicit,advection,human,X_T_rand,trajectory,T_rand,real,1,trajectory,description,code,math,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_shuf|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,0,description,math,trajectory,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_shuf|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,obfuscated,1,trajectory,description,math,code,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_shuf|real|0,Burgers_3,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,0,description,math,trajectory,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_shuf|real|1,Burgers_3,burgers,explicit,advection,human,X_T_shuf,trajectory,T_shuf,real,1,trajectory,description,math,code,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_swap|obfuscated|0,Burgers_3,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,0,math,description,trajectory,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_swap|obfuscated|1,Burgers_3,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,obfuscated,1,trajectory,code,math,description,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_swap|real|0,Burgers_3,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,0,math,description,trajectory,code,3,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_3|X_T_swap|real|1,Burgers_3,burgers,explicit,advection,human,X_T_swap,trajectory,T_swap,real,1,trajectory,code,math,description,1,burgers,explicit,,422,425,3,1341,1343,2,14,14,10x200x1x1,10x200x1x1,10x64x1x1,0.0779,0,0,1,0
Burgers_4|A0|obfuscated|0,Burgers_4,burgers,explicit,advection,human,A0,none,valid,obfuscated,0,trajectory,code,description,math,,burgers,explicit,,422,380,-42,1332,1226,-106,12,11,10x100x1x1,10x256x1x1,10x64x1x1,0.0476,0,0,1,0
Burgers_4|A0|obfuscated|1,Burgers_4,burgers,explicit,advection,human,A0,none,valid,obfuscated,1,description,math,trajectory,code,,burgers,explicit,,422,380,-42,1332,1226,-106,12,11,10x100x1x1,10x256x1x1,10x64x1x1,0.0476,0,0,1,0
Burgers_4|A0|real|0,Burgers_4,burgers,explicit,advection,human,A0,none,valid,real,0,trajectory,code,description,math,,burgers,explicit,,422,380,-42,1332,1226,-106,12,11,10x100x1x1,10x256x1x1,10x64x1x1,0.0476,0,0,1,0
Burgers_4|A0|real|1,Burgers_4,burgers,explicit,advection,human,A0,none,valid,real,1,description,math,trajectory,code,,burgers,explicit,,422,380,-42,1332,1226,-106,12,11,10x100x1x1,10x256x1x1,10x64x1x1,0.0476,0,0,1,0
