model,title,pde_class,mod_type,question_type,candidate,letters,correct_letter,logprob_A,logprob_B,logprob_C,logprob_D,predicted_letter,correct,logprob_correct,margin,entropy,finish_reason
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,phys_process,diffusion,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.0491603948175907,-3.0491604804992676,-8.92416000366211,-13.79916000366211,A,True,-0.0491603948175907,3.000000085681677,0.1908649594920068,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,phys_process,oscillation,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.079377993941307,-2.5793778896331787,-8.079378128051758,-12.329378128051758,A,True,-0.079377993941307,2.4999998956918716,0.2685352026246275,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",A,-1.5035204887390137,-0.253520518541336,-7.628520488739014,-12.753520965576172,B,False,-1.5035204887390137,-1.2499999701976776,0.5303042613236648,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.5237100124359131,-0.8987100124359131,-7.773710250854492,-12.148710250854492,A,False,-0.8987100124359131,-0.375,0.6758732891550641,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-2.127412796020508,-0.127412810921669,-7.877412796020508,-12.627412796020508,B,True,-0.127412810921669,1.9999999850988388,0.3653338582142603,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,num_method,spectral,"{""A"": ""No"", ""B"": ""Yes""}",B,-2.1293983459472656,-0.1293984651565551,-6.254398345947266,-10.629398345947266,B,True,-0.1293984651565551,1.9999998807907104,0.3653338801176294,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,phys_valid,valid,"{""A"": ""Yes"", ""B"": ""No""}",A,-1.316942572593689,-0.3169425725936889,-5.8169426918029785,-10.31694221496582,B,False,-1.316942572593689,-1.0,0.582203108886218,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,pde_class,,"{""A"": ""heat"", ""B"": ""burgers"", ""C"": ""navier-stokes"", ""D"": ""wave""}",A,-0.0044989557936787,-5.5044989585876465,-8.879498481750488,-8.629498481750488,A,True,-0.0044989557936787,5.500000002793968,0.0295526973123322,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.1447241455316543,-2.019724130630493,-8.394723892211914,,A,True,-0.1447241455316543,1.8749999850988388,0.39198301119555,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.143308475613594,-2.018308401107788,-8.018308639526367,-11.018308639526367,A,True,-0.143308475613594,1.874999925494194,0.3919830240796251,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.8287675976753235,-0.5787675976753235,-7.953767776489258,,B,False,-0.8287675976753235,-0.25,0.6853952946553941,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.603307008743286,-0.2283070236444473,-7.603307247161865,,B,True,-0.2283070236444473,1.3749999850988388,0.5029058355081476,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.974863827228546,-0.4748638272285461,-7.59986400604248,-12.34986400604248,B,True,-0.4748638272285461,0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,num_method,implicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-1.806386351585388,-0.1813863664865493,-7.431386470794678,-11.43138599395752,B,True,-0.1813863664865493,1.6249999850988388,0.4470838909188609,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-2.238631248474121,-0.1136311367154121,-7.363631248474121,-12.36363124847412,B,True,-0.1136311367154121,2.125000111758709,0.3395397682697116,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_1,heat,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.7597391605377197,-0.6347391605377197,-7.384738922119141,-12.13473892211914,B,True,-0.6347391605377197,0.125,0.6911978636434496,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,pde_class,,"{""A"": ""navier-stokes"", ""B"": ""burgers"", ""C"": ""wave"", ""D"": ""heat""}",D,-6.383240222930908,-5.383240222930908,-6.383240222930908,-0.0082402722910046,D,True,-0.0082402722910046,5.3749999506399035,0.0542466775903099,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",A,-2.1298158168792725,-0.129815861582756,-6.754816055297852,-11.504816055297852,B,False,-2.1298158168792725,-1.9999999552965164,0.3653338644723656,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.1134394854307174,-2.238439559936523,-7.613439559936523,-11.613439559936523,A,True,-0.1134394854307174,2.125000074505806,0.3395397758145003,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",A,-1.5046947002410889,-0.2546946704387665,-7.25469446182251,-11.629694938659668,B,False,-1.5046947002410889,-1.2500000298023224,0.5303042484263532,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.9758771657943726,-0.4758771657943725,-7.100877285003662,-12.100876808166504,B,True,-0.4758771657943725,0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-1.054849624633789,-0.4298495650291443,-7.054849624633789,-11.929849624633787,B,False,-1.054849624633789,-0.6250000596046448,0.6466038793984092,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.4749920964241028,-0.9749920964241028,-7.224992275238037,-11.09999179840088,A,False,-0.9749920964241028,-0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.0552843809127808,-0.4302843511104584,-6.55528450012207,-11.55528450012207,B,True,-0.4302843511104584,0.6250000298023224,0.646603883628322,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_2,heat,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-1.0552383661270142,-0.4302383661270141,-7.180238246917725,-12.055238723754885,B,True,-0.4302383661270141,0.625,0.6466038878582347,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,pde_class,,"{""A"": ""navier-stokes"", ""B"": ""heat"", ""C"": ""burgers"", ""D"": ""wave""}",B,-4.76541805267334,-0.0154180293902754,-5.64041805267334,-5.76541805267334,B,True,-0.0154180293902754,4.750000023283064,0.0937948113353328,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,phys_process,advection,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.913955569267273,-0.1639555841684341,-6.5389556884765625,-11.413955688476562,B,True,-0.1639555841684341,1.7499999850988388,0.4193067502806196,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,phys_process,diffusion,"{""A"": ""No"", ""B"": ""Yes""}",B,-3.289950132369995,-0.0399501100182533,-7.289949893951416,-11.289950370788574,B,True,-0.0399501100182533,3.250000022351742,0.1593537529438743,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,phys_process,oscillation,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.9760537147521972,-0.4760537147521972,-6.976053714752197,-11.60105323791504,B,True,-0.4760537147521972,0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.5041697025299072,-0.254169762134552,-7.129169940948486,-12.379169464111328,B,True,-0.254169762134552,1.2499999403953552,0.5303042677723205,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-1.0548347234725952,-0.4298347532749176,-7.179834842681885,-12.054834365844728,B,False,-1.0548347234725952,-0.6249999701976776,0.6466038920881473,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.6336710453033447,-0.7586710453033447,-7.133670806884766,-11.258670806884766,A,True,-0.6336710453033447,0.125,0.6911978636434496,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.9115716218948364,-0.1615716218948364,-6.786571502685547,-11.661571502685549,B,True,-0.1615716218948364,1.75,0.4193067469915438,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_3,heat,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-1.0556023120880127,-0.4306023716926574,-6.930602550506592,-11.555602073669434,B,True,-0.4306023716926574,0.6249999403953552,0.6466038963180598,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,pde_class,,"{""A"": ""wave"", ""B"": ""burgers"", ""C"": ""heat"", ""D"": ""navier-stokes""}",C,-6.006668567657471,-7.006668567657471,-0.0066685751080513,-5.756668567657471,C,True,-0.0066685751080513,5.749999992549419,0.0458502565724634,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.1140926107764244,-2.2390925884246826,-7.489092826843262,-12.989092826843262,A,True,-0.1140926107764244,2.124999977648258,0.3395397954309515,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.1017835065722465,-2.351783514022827,-6.601783275604248,-11.476783752441406,A,True,-0.1017835065722465,2.2500000074505806,0.314742853491732,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.4308511316776275,-1.0558511018753052,-6.930850982666016,-11.805850982666016,A,True,-0.4308511316776275,0.6249999701976776,0.6466038920881473,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.8081687688827517,-0.183168813586235,-6.308168888092041,-11.808168411254885,B,True,-0.183168813586235,1.6249999552965164,0.4470838975754345,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.0892130583524704,-2.4642131328582764,-8.339213371276855,-12.589213371276855,A,True,-0.0892130583524704,2.375000074505806,0.2910496835876806,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,num_method,implicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.4747817516326904,-0.9747817516326904,-7.599781990051269,-12.34978199005127,A,False,-0.9747817516326904,-0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-2.696605443954468,-0.0716054141521453,-6.446605205535889,-11.446605682373049,B,True,-0.0716054141521453,2.6250000298023224,0.2472462589571818,length
meta-llama/Llama-3.1-8B-Instruct,Heat_Comm_Valid_4,heat,Comm_Valid,phys_valid,valid,"{""A"": ""Yes"", ""B"": ""No""}",A,-1.6077158451080322,-0.2327157855033874,-4.982715606689453,-9.607715606689451,B,False,-1.6077158451080322,-1.3750000596046448,0.5029058190057534,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,pde_class,,"{""A"": ""burgers"", ""B"": ""navier-stokes"", ""C"": ""heat"", ""D"": ""wave""}",A,-0.0346021279692649,-3.409602165222168,-7.284602165222168,-9.284602165222168,A,True,-0.0346021279692649,3.375000037252903,0.1518366738029299,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",B,-2.467108249664306,-0.0921083241701126,-6.592108249664307,-10.717108726501465,B,True,-0.0921083241701126,2.374999925494194,0.2910497111415436,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,phys_process,diffusion,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.3145641088485718,-1.3145641088485718,-7.564564228057861,-11.814563751220703,A,False,-1.3145641088485718,-1.0,0.582203108886218,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,phys_process,oscillation,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.3169124126434326,-0.316912442445755,-5.941912651062012,-10.316912651062012,B,True,-0.316912442445755,0.9999999701976776,0.5822031147457103,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.9128122329711912,-0.162812277674675,-6.537812232971191,-11.537812232971191,B,True,-0.162812277674675,1.7499999552965164,0.4193067568587714,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.2020496577024459,-1.7020496129989624,-7.577049732208252,-11.577049255371094,A,True,-0.2020496577024459,1.4999999552965164,0.4750515736913359,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,num_method,implicit,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.226080372929573,-1.6010804176330566,-8.101079940795898,-12.601079940795898,A,True,-0.226080372929573,1.3750000447034836,0.5029058223062323,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-2.5803849697113037,-0.0803850144147872,-6.580385208129883,-11.205385208129885,B,True,-0.0803850144147872,2.4999999552965164,0.2685351921783595,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_1,burgers,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.8291922807693481,-0.5791922807693481,-6.329192161560059,-10.57919216156006,B,True,-0.5791922807693481,0.25,0.6853952946553941,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,pde_class,,"{""A"": ""navier-stokes"", ""B"": ""heat"", ""C"": ""burgers"", ""D"": ""wave""}",C,-9.375415802001951,-8.125415802001953,-0.0004157155926804,-11.875415802001951,C,True,-0.0004157155926804,8.125000086409273,0.0036696887346497,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,phys_process,advection,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.6958229541778564,-0.6958229541778564,-6.320822715759277,-11.070822715759276,A,True,-0.6958229541778564,0.0,0.6931471805579453,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",A,-2.240657329559326,-0.1156573668122291,-6.115657329559326,-10.865657806396484,B,False,-2.240657329559326,-2.124999962747097,0.3395397984488669,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,phys_process,oscillation,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.1405760049819946,-0.390576034784317,-5.890575885772705,-10.640576362609863,B,True,-0.390576034784317,0.7499999701976776,0.6274869866016879,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,phys_process,restoration,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.8079239130020144,-0.1829239279031753,-6.432923793792725,-11.432924270629885,B,True,-0.1829239279031753,1.6249999850988388,0.4470838909188609,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,num_method,explicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-2.130156993865967,-0.1301571130752563,-6.630156993865967,-11.005157470703123,B,True,-0.1301571130752563,1.9999998807907104,0.3653338801176294,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.8061182498931885,-0.1811182498931884,-6.681118011474609,-11.18111801147461,B,True,-0.1811182498931884,1.625,0.4470838875905741,length
meta-llama/Llama-3.1-8B-Instruct,Burgers_Comm_Valid_2,burgers,Comm_Valid,num_method,spectral,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.1437380909919738,-2.018738031387329,-7.393738269805908,-12.39373779296875,A,True,-0.1437380909919738,1.8749999403953552,0.3919830208586063,length
